OBJECTID,link_name,len_mile,ifc,ifc_desc,post_speed,iway,vmt,volumes,lanes,median,SHAPE_Length
117,JACKSON,0.103934,3,Major Arterial,30,2,1430.880121,13.76719958,4,Raised of Fixed Median,548.7729847
118,C,0.074622,5,Local Collector,30,2,489.5269832,6.56008929,2,No Median,394.0065345
119,C,0.124812,5,Local Collector,30,2,818.7778648,6.56008929,2,No Median,659.0049693
120,C,0.124813,5,Local Collector,30,2,458.3313164,3.67214406,2,No Median,659.0121338
121,43RD,0.128619,3,Major Arterial,30,1,628.7404651,4.88839491,2,No Median,679.1071228
122,43RD,0.12938,3,Major Arterial,30,1,847.0902704,6.54730461,2,No Median,683.1241883
123,C,0.076414,5,Local Collector,30,2,280.6032161,3.67214406,2,No Median,403.4724482
124,ARAGON,0.260006,5,Local Collector,25,2,1189.904622,4.57645063,2,No Median,1372.823129
125,ARAGON,0.239639,5,Local Collector,25,2,1774.661014,7.40556009,2,No Median,1265.302507
126,CACTUS RD.,0.214153,4,Collector,35,2,0.214153,0.001,2,No Median,1130.777802
127,CALLE CRISTOBAL,0.178659,3,Major Arterial,45,2,1359.465111,7.60927303,4,Raised of Fixed Median,943.3167518
128,CAM DE LA PLAZA,0.069517,4,Collector,40,2,149.6931851,2.15333206,4,Raised of Fixed Median,367.0472687
129,CAM DEL MAR,0.074479,4,Collector,25,2,1389.491705,18.65615415,4,Raised of Fixed Median,393.2004407
130,CAM DEL MAR,0.263668,4,Collector,40,2,3933.396852,14.917991,3,Raised of Fixed Median,1392.193885
131,CAM DEL RIO NORTH,0.030857,3,Major Arterial,35,2,311.5710734,10.09725746,4,No Median,162.9248287
132,ACACIA,0.063971,7,Local (non-circulation element) Road,25,2,403.8407554,6.31287232,2,No Median,337.7646683
133,CAM SAN BERNARDO,0.162432,3,Major Arterial,55,2,1923.519878,11.84200082,4,Raised of Fixed Median,857.6393935
134,CAM SAN BERNARDO,0.094174,3,Major Arterial,55,2,2091.568004,22.20961204,5,Raised of Fixed Median,497.239041
135,01ST,0.074242,4,Collector,25,2,730.0721548,9.83368114,3,No Median,391.9998722
136,01ST,0.037784,4,Collector,30,2,311.2733077,8.23823067,3,No Median,199.5008837
137,03RD,0.034755,5,Local Collector,25,1,45.42206692,1.30692179,3,No Median,183.5060918
138,03RD,0.03627,5,Local Collector,25,1,51.14410372,1.41009384,3,No Median,191.5058196
139,16TH,0.035207,4,Collector,30,2,159.5104457,4.53064577,2,Continuous LT Center Lane,185.9167
140,CAM VIDA ROBLE,0.158103,7,Local (non-circulation element) Road,40,2,2269.924739,14.3572528,2,No Median,834.7825234
141,CAM VIDA ROBLE,0.070863,7,Local (non-circulation element) Road,40,2,1187.672802,16.7601259,2,No Median,374.1593666
142,02ND,0.111991,5,Local Collector,30,2,1179.552042,10.53256103,2,No Median,591.3136331
143,CAMINO DEL SUR,0.262037,3,Major Arterial,50,2,2629.006706,10.03295987,4,Raised of Fixed Median,1383.530896
144,CAMINO DEL SUR,0.26771,3,Major Arterial,50,2,2655.522068,9.91939811,4,Raised of Fixed Median,1413.509518
145,CAMINO DEL SUR,0.201143,3,Major Arterial,45,2,3619.243701,17.9933863,4,Raised of Fixed Median,1062.050644
146,CAMINO DEL SUR,0.2822,2,Prime Arterial,50,2,5467.697514,19.37525696,4,Raised of Fixed Median,1490.063273
147,CAMINO DEL SUR,0.233468,2,Prime Arterial,50,2,4508.09071,19.30924456,4,Raised of Fixed Median,1232.710968
148,18TH,0.126739,4,Collector,35,2,700.7360799,5.52896961,2,No Median,669.1816897
149,CAMINO DEL SUR,0.350865,2,Prime Arterial,50,2,7562.943351,21.55513759,4,Raised of Fixed Median,1852.528132
150,CAMINO DEL SUR,0.11976,2,Prime Arterial,50,2,3178.313565,26.53902443,4,Raised of Fixed Median,632.3807108
151,18TH,0.251309,4,Collector,35,2,1249.390061,4.97152932,2,No Median,1326.910091
152,18TH,0.066786,4,Collector,35,2,587.8287138,8.80167571,2,No Median,352.6325421
153,LEMON,0.288463,5,Local Collector,25,2,522.1918278,1.81025583,2,No Median,1523.084911
154,CAMPO,0.146802,4,Collector,35,2,1208.773028,8.23403651,2,No Median,775.1517755
155,CAMPO,0.030062,2,Prime Arterial,55,2,1386.938926,46.13594989,6,Raised of Fixed Median,158.7106518
156,CANANEA,0.095941,7,Local (non-circulation element) Road,25,2,157.1711785,1.63820659,2,No Median,506.5696196
157,BRIARWOOD,0.205219,4,Collector,35,2,367.0458373,1.7885568,4,No Median,1083.608101
158,BRIARWOOD,0.131685,4,Collector,35,2,1328.785565,10.09063724,3,No Median,695.2963247
159,CANNON,0.290726,3,Major Arterial,50,2,7689.1135,26.44797335,4,Raised of Fixed Median,1535.074788
160,CANYAN DR,0.158258,5,Local Collector,25,2,707.8053795,4.47247772,2,No Median,835.5521922
161,CAPRICORN,0.09674,4,Collector,25,2,1725.902893,17.84063359,2,No Median,510.7915304
162,CAR COUNTRY,0.405553,5,Local Collector,35,2,945.1570214,2.33053885,2,No Median,2141.289924
163,CARMEL CREEK,0.115193,3,Major Arterial,40,2,1862.345379,16.16717491,5,Raised of Fixed Median,608.195562
164,CARMEL CREEK,0.120925,3,Major Arterial,25,2,249.6945898,2.06487153,3,Raised of Fixed Median,638.4465344
165,CARMEL MOUNTAIN,0.263567,3,Major Arterial,45,2,3880.109579,14.72153031,4,Raised of Fixed Median,1391.63603
166,CARMEL MOUNTAIN,0.116473,3,Major Arterial,45,2,1487.512896,12.77131092,4,Raised of Fixed Median,614.9711808
167,CARMEL MTN,0.244611,3,Major Arterial,40,2,151.3129393,0.618586,4,Raised of Fixed Median,1291.568502
168,CARMEL VALLEY,0.285214,4,Collector,30,2,1011.466099,3.54634099,2,No Median,1505.938822
169,18TH,0.126261,4,Collector,35,2,913.2207749,7.2328017,2,No Median,666.6588499
170,CARMEL VALLEY,0.273618,4,Collector,45,2,4952.944606,18.10167681,2,No Median,1444.718071
171,47TH,0.1271,3,Major Arterial,35,2,1272.715307,10.01349573,4,Continuous LT Center Lane,671.0904559
172,58TH,0.164797,5,Local Collector,30,2,591.9605666,3.59205912,2,No Median,870.1295343
173,POINSETTIA,0.419583,3,Major Arterial,50,2,7982.365859,19.02452163,4,Raised of Fixed Median,2215.430822
174,CASSIA,0.246063,5,Local Collector,35,2,3628.45057,14.74602265,2,No Median,1299.200498
175,CASSIA,0.154781,5,Local Collector,35,2,2282.404131,14.74602265,2,No Median,817.2740697
176,CHILDREN'S,0.281905,4,Collector,35,2,211.8196761,0.75138673,2,No Median,1488.455635
177,58TH,0.035177,5,Local Collector,30,2,171.2159737,4.86727048,2,No Median,185.731101
178,RIVERVIEW PKWY,0.076721,3,Major Arterial,35,2,148.1361987,1.93084291,4,Raised of Fixed Median,405.0683508
179,29TH,0.071221,7,Local (non-circulation element) Road,25,2,136.0403718,1.910116,2,No Median,376.0453253
180,18TH,0.117347,4,Collector,35,2,792.9086487,6.75695713,2,No Median,619.5835574
181,CLAYDELLE,0.078528,7,Local (non-circulation element) Road,35,2,546.4934657,6.95921793,2,No Median,414.6005222
182,AVIARA,0.189087,3,Major Arterial,45,2,3934.345421,20.80706458,4,Raised of Fixed Median,998.3531901
183,COLLEGE,0.032063,3,Major Arterial,40,2,1065.7734,33.23997754,4,Raised of Fixed Median,169.2925632
184,COLLEGE,0.059375,3,Major Arterial,40,2,1973.623666,33.23997754,4,Raised of Fixed Median,313.4968101
185,47TH,0.062886,3,Major Arterial,35,2,925.1309133,14.71123801,3,Continuous LT Center Lane,332.0376405
186,47TH,0.052092,3,Major Arterial,35,2,719.7536898,13.8169717,4,No Median,275.0455627
187,A,0.179683,7,Local (non-circulation element) Road,35,2,1240.702184,6.90495029,2,No Median,948.7059567
188,COLLEGE,0.082148,3,Major Arterial,40,2,3266.020242,39.75775724,4,No Median,433.720327
189,COLLEGE,0.051995,3,Major Arterial,35,2,1068.486666,20.54979645,4,Continuous LT Center Lane,274.535651
190,COLLEGE,0.024822,3,Major Arterial,35,2,490.3408623,19.754285,4,No Median,131.0607924
191,COLLURA,0.027975,5,Local Collector,30,2,269.2991644,9.62642232,2,No Median,147.7096897
192,COPPER,0.205887,7,Local (non-circulation element) Road,25,2,989.3117244,4.80511992,2,No Median,1087.082997
193,CESAR CHAVEZ,0.071407,3,Major Arterial,35,2,776.1122664,10.86885412,3,No Median,377.0279686
194,51ST,0.079402,5,Local Collector,25,2,57.74926739,0.72730243,2,No Median,419.2434305
195,CESAR CHAVEZ,0.072459,3,Major Arterial,25,2,739.3531148,10.20374439,3,Continuous LT Center Lane,382.5816027
196,CESAR CHAVEZ,0.051871,3,Major Arterial,25,2,699.6865629,13.48897386,4,No Median,273.8794617
197,CESAR CHAVEZ,0.016927,3,Major Arterial,25,2,228.3278605,13.48897386,4,Raised of Fixed Median,89.37589565
198,CUYAMACA,0.122184,3,Major Arterial,35,2,1639.643656,13.41946291,4,No Median,645.1310882
199,CUYAMACA,0.057088,3,Major Arterial,35,2,818.1430446,14.33126129,6,No Median,301.4501659
200,CYPRESS,0.173117,7,Local (non-circulation element) Road,25,2,842.0258712,4.8639121,2,No Median,914.0384075
201,CYPRESS CANYON,0.070478,5,Local Collector,25,2,165.0375053,2.34168826,2,No Median,372.1235835
202,CYPRESS CANYON,0.297291,5,Local Collector,25,2,605.0476379,2.03520335,2,No Median,1569.735507
203,DALE,0.293094,5,Local Collector,25,2,1393.76737,4.75535961,2,No Median,1547.538391
204,DANIELSON ST,0.097078,7,Local (non-circulation element) Road,35,2,990.2123521,10.20017256,2,Continuous LT Center Lane,512.6028117
205,DEER SPRINGS,0.17139,3,Major Arterial,55,2,3342.357709,19.50147447,2,No Median,904.9339753
206,AKINS,0.05731,5,Local Collector,25,2,375.2892354,6.54840753,2,No Median,302.5972206
207,DEL DIABLO,0.311271,5,Local Collector,30,2,0,0,2,No Median,1643.553037
208,DEL DIOS,0.568485,4,Collector,50,2,10334.97618,18.1798573,2,No Median,3001.615854
209,DEL DIOS,0.162426,4,Collector,50,2,3147.578504,19.37853856,2,No Median,857.6339988
210,DEL MAR,0.063717,5,Local Collector,30,2,517.4251546,8.12067666,2,No Median,336.4263183
211,DEL MAR HEIGHTS,0.128042,3,Major Arterial,40,2,2241.355037,17.50484245,4,Continuous LT Center Lane,676.0591978
212,30TH,0.070838,5,Local Collector,25,2,206.6990925,2.9179126,2,No Median,374.0237161
213,DELEVAN,0.06244,5,Local Collector,30,2,229.288675,3.67214406,2,No Median,329.6647986
214,DELTA,0.10928,7,Local (non-circulation element) Road,25,2,894.5014503,8.18540859,2,No Median,577.0001583
215,DELTA,0.124811,7,Local (non-circulation element) Road,25,2,1021.237578,8.18227222,2,No Median,659.0007531
216,C,0.131629,5,Local Collector,30,2,1318.998532,10.02057701,2,Continuous LT Center Lane,695.0028
217,C,0.126515,5,Local Collector,30,2,693.9142738,5.48483795,2,No Median,668.0007248
218,C,0.11875,5,Local Collector,30,2,738.7797386,6.22130306,2,No Median,627.0011973
219,54TH,0.093225,3,Major Arterial,35,2,1922.251693,20.61948719,4,Raised of Fixed Median,492.2296246
220,DENNERY,0.168665,3,Major Arterial,35,2,606.4312574,3.59547777,4,Raised of Fixed Median,890.5288672
221,CABRILLO MEMORIAL DR,0.24867,4,Collector,35,2,289.6098702,1.16463534,2,No Median,1312.976273
222,CABRILLO MEMORIAL DR,0.127743,4,Collector,35,2,148.7740124,1.16463534,2,No Median,674.4834753
223,DESCANSO,0.119524,4,Collector,30,2,758.1265735,6.34288154,2,No Median,631.0777106
224,03RD,0.077501,3,Major Arterial,25,1,2925.080379,37.74248563,4,No Median,409.2070109
225,04TH,0.077332,3,Major Arterial,30,1,1396.641422,18.06032977,3,No Median,408.3107766
226,04TH,0.072337,3,Major Arterial,30,1,1078.352032,14.90733694,3,No Median,381.9385165
227,04TH,0.072505,3,Major Arterial,30,1,2311.193923,31.8763385,3,No Median,382.8278332
228,04TH,0.078019,3,Major Arterial,30,1,2488.231537,31.8926356,3,No Median,411.9384804
229,CANON,0.071686,7,Local (non-circulation element) Road,25,2,93.63329372,1.30615872,2,No Median,378.5022794
230,CATALINA,0.053887,4,Collector,35,2,700.9548304,13.00786517,4,No Median,284.5239895
231,DEVONSHIRE,0.009923,5,Local Collector,25,2,8.996696414,0.90665085,2,No Median,52.39296217
232,E,0.027747,5,Local Collector,30,1,112.465338,4.05324316,2,No Median,146.503448
233,H,0.050158,2,Prime Arterial,45,2,898.2907024,17.90922091,6,Raised of Fixed Median,264.8357318
234,CABRILLO MEMORIAL DR,0.164033,4,Collector,35,2,632.7371554,3.85737721,2,No Median,866.0978084
235,CABRILLO MEMORIAL DR,0.466655,4,Collector,35,2,543.4829051,1.16463534,2,No Median,2463.938041
236,CATALINA,0.055861,4,Collector,40,2,726.6323563,13.00786517,4,No Median,294.9473339
237,OLD COURSE,0.96974,7,Local (non-circulation element) Road,25,2,803.6036787,0.82867952,2,No Median,5120.229542
238,EAST VICTORIA,0.244722,5,Local Collector,30,2,74.96993986,0.30634737,2,No Median,1292.179746
239,EAST VISTA,0.161411,3,Major Arterial,40,2,3586.764472,22.22131374,2,No Median,852.3012691
240,EASTLAKE,0.128429,3,Major Arterial,30,2,832.4404737,6.48171732,2,No Median,678.1005438
241,EASTLAKE PKWY,0.206385,2,Prime Arterial,40,2,2504.342894,12.13432611,6,Raised of Fixed Median,1089.66592
242,EL CAMINO REAL,0.202617,2,Prime Arterial,55,2,7775.72022,38.37644531,6,Raised of Fixed Median,1069.81595
243,EL CAMINO REAL,0.218812,2,Prime Arterial,55,2,5823.67039,26.61494978,5,Raised of Fixed Median,1155.346278
244,EL CAMINO REAL,0.111606,3,Major Arterial,50,2,1725.070295,15.45678812,6,Raised of Fixed Median,589.2813897
245,EL FUERTE,0.130521,4,Collector,45,2,1404.096533,10.75762929,4,No Median,689.1231108
246,EL FUERTE,0.114854,4,Collector,45,2,807.9437645,7.03452874,4,No Median,606.4538677
247,EL FUERTE,0.421254,4,Collector,35,2,557.0130865,1.3222737,4,Continuous LT Center Lane,2224.181369
248,TECH WAY,0.162974,4,Collector,35,2,618.379319,3.79434339,2,No Median,860.5048059
249,ELM,0.053221,5,Local Collector,25,2,169.4473955,3.18384464,3,No Median,281.0072115
250,ELM,0.052844,5,Local Collector,25,2,156.3553869,2.95881059,3,No Median,279.0162267
251,ELM,0.053032,5,Local Collector,25,2,156.5487965,2.95196856,3,No Median,280.0072389
252,EVENING CREEK N,0.201855,4,Collector,45,2,1328.194261,6.57994234,2,No Median,1065.860963
253,Eltinge,0.188151,7,Local (non-circulation element) Road,25,2,134.8857283,0.71690147,2,No Median,993.4163583
254,Eltinge,0.165606,7,Local (non-circulation element) Road,25,2,118.7231847,0.71690147,2,No Median,874.4015434
255,E. DOUGLAS,0.104459,7,Local (non-circulation element) Road,25,2,273.2309622,2.6156766,2,No Median,551.5455827
256,FARADAY,0.311284,4,Collector,40,2,2840.998249,9.12670824,4,No Median,1643.58013
257,FARADAY,0.25023,4,Collector,40,2,5131.89443,20.50870971,4,No Median,1321.200751
258,FEDERAL,0.141522,4,Collector,40,2,2978.834324,21.04856011,3,Continuous LT Center Lane,747.2543816
259,FERN,0.071783,5,Local Collector,25,2,688.2352216,9.58771884,2,No Median,379.0120994
260,FERN,0.071976,5,Local Collector,25,2,1036.287671,14.39768354,2,No Median,380.0327894
261,FLANDERS,0.195475,5,Local Collector,25,2,1532.62224,7.84050257,2,No Median,1032.114307
262,FLETCHER,0.61648,2,Prime Arterial,50,2,18786.64988,30.47406223,6,Raised of Fixed Median,3255.008689
